"cell_num"	"coverage_mean"	"coverage_variance"	"eff_seq_err_rate"	"ado_rate"	"deletion_rate"	"insertion_rate"	"doublet_rate"	"cnv_rate"	"dataset"	"tool"	"snv_type"	"tool_setup"	"fine_tune_type"	"data_type"	"inferred_tree"	"real_tree"	"max_clades"	"RF_distance"	"normalized_RF_distance"	"weighted_RF_distance"	"normalized_weighted_RF_distance"	"rooted_branch_score_difference"
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	4	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0004/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0004"	76	22	0.289473684210526	1.19256299198825	0.99998810784397	0.300927780609842
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	5	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0005/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0005"	76	8	0.105263157894737	0.958428047530382	0.999986190468615	0.259832388492942
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	6	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0006/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0006"	76	6	0.0789473684210526	0.974679883561933	0.999988414145877	0.215939393802161
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	7	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0007/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0007"	76	28	0.368421052631579	1.04171618000519	0.999987292034097	0.325279749657602
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	8	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0008/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0008"	76	32	0.421052631578947	0.918904825122945	0.999987261909879	0.215853086635188
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	9	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0009/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0009"	76	28	0.368421052631579	1.10466453013116	0.999985077723687	0.285765232350013
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	10	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"inc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/inc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0010/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0010"	76	26	0.342105263157895	0.649516646427642	0.999984885145443	0.160198664021723
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	1	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"exc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/exc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0001/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0001"	76	14	0.184210526315789	0.764465657032626	0.99998203218602	0.190168207488889
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	2	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"exc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/exc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0002/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0002"	76	4	0.0526315789473684	0.440042491776646	0.999977642708513	0.101447940170239
40	20	10	0.001999	0.3	2e-06	0	0	"2/3"	3	"indelsieve"	"candidate_snvs"	"smc_mudel_sa_stage_1-smc_mudel_sa_stage_2"	"mt"	"exc_cnv"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/indelsieve/from_candidate/phylogenetic_inference/stage2/mt/exc_cnv/smc_mudel_sa_stage_1-smc_mudel_sa_stage_2/0003/indelsieve_simple.tree"	"/raid/kang/DelSIEVE/simulation_results/IndelSIEVE_benchmark_pipeline_sa_105_cna_2/benchmark_results/simulated_data/results/converted_trees_dir/with_trunk_without_normal_dir/tree.0003"	76	10	0.131578947368421	0.553491666482018	0.999980308705644	0.105852720020707
